Player,Team,Update,Details,Date,Unnamed: 0,Name,Value,Prop
,LAL - F,,,2024-01-30,243.0,LeBron James,39.5,Pts+Rebs+Asts
,HOU - G,,,2024-01-30,244.0,Jalen Green,27.5,Pts+Rebs+Asts
,LAL - F-C,,,2024-01-30,245.0,Anthony Davis,40.5,Pts+Rebs+Asts
,HOU - G,,,2024-01-30,246.0,Fred VanVleet,26.0,Pts+Rebs+Asts
,LAL - G,,,2024-01-30,247.0,D'Angelo Russell,26.5,Pts+Rebs+Asts
,HOU - F,,,2024-01-30,248.0,Jabari Smith Jr.,22.5,Pts+Rebs+Asts
,LAL - G,,,2024-01-30,249.0,Austin Reaves,22.5,Pts+Rebs+Asts
,HOU - G-F,,,2024-01-30,250.0,Dillon Brooks,16.5,Pts+Rebs+Asts
,DAL - F-G,,,2024-01-30,251.0,Luka Doncic,57.5,Pts+Rebs+Asts
,ORL - F,,,2024-01-30,252.0,Paolo Banchero,37.5,Pts+Rebs+Asts
,DAL - C,,,2024-01-30,253.0,Dereck Lively II,18.5,Pts+Rebs+Asts
,ORL - F,,,2024-01-30,254.0,Franz Wagner,29.5,Pts+Rebs+Asts
,ORL - G,,,2024-01-30,255.0,Markelle Fultz,18.5,Pts+Rebs+Asts
,DAL - G,,,2024-01-30,256.0,Josh Green,17.5,Pts+Rebs+Asts
,DAL - G-F,,,2024-01-30,257.0,Tim Hardaway Jr.,23.5,Pts+Rebs+Asts
,DEN - C,,,2024-01-30,258.0,Nikola Jokic,49.5,Pts+Rebs+Asts
,MIL - F,,,2024-01-30,259.0,Giannis Antetokounmpo,49.5,Pts+Rebs+Asts
,DEN - G,,,2024-01-30,260.0,Jamal Murray,36.5,Pts+Rebs+Asts
,MIL - G,,,2024-01-30,261.0,Damian Lillard,35.5,Pts+Rebs+Asts
,DEN - F,,,2024-01-30,262.0,Michael Porter Jr.,23.5,Pts+Rebs+Asts
,MIL - F,,,2024-01-30,263.0,Khris Middleton,27.0,Pts+Rebs+Asts
,DEN - F,,,2024-01-30,264.0,Aaron Gordon,23.0,Pts+Rebs+Asts
,MIL - C,,,2024-01-30,265.0,Brook Lopez,19.5,Pts+Rebs+Asts
,POR - G,,,2024-01-30,266.0,Anfernee Simons,30.5,Pts+Rebs+Asts
,PHI - C-F,,,2024-01-30,267.0,Joel Embiid,54.5,Pts+Rebs+Asts
,POR - F,,,2024-01-30,268.0,Jerami Grant,25.5,Pts+Rebs+Asts
,POR - G,,,2024-01-30,269.0,Malcolm Brogdon,25.5,Pts+Rebs+Asts
,POR - C,,,2024-01-30,270.0,Deandre Ayton,25.5,Pts+Rebs+Asts
,CHA - G,,,2024-01-30,271.0,LaMelo Ball,8.0,Assists
,NYK - G,,,2024-01-30,272.0,Jalen Brunson,7.5,Assists
,CLE - G,,,2024-01-30,273.0,Donovan Mitchell,7.0,Assists
,LAC - F,,,2024-01-30,274.0,Kawhi Leonard,3.5,Assists
,LAC - G,,,2024-01-30,275.0,James Harden,8.5,Assists
,CLE - G-F,,,2024-01-30,276.0,Max Strus,3.5,Assists
,PHX - G,,,2024-01-30,277.0,Bradley Beal,4.5,Assists
,MIA - F,,,2024-01-30,278.0,Jimmy Butler,5.0,Assists
,PHX - G,,,2024-01-30,279.0,Devin Booker,6.0,Assists
,MIA - G,,,2024-01-30,280.0,Terry Rozier,5.5,Assists
,PHX - G,,,2024-01-30,281.0,Grayson Allen,2.5,Assists
,PHX - F,,,2024-01-30,282.0,Kevin Durant,5.0,Assists
,BKN - F,,,2024-01-30,283.0,Cameron Johnson,2.5,Assists
,UTA - G,,,2024-01-30,284.0,Collin Sexton,5.5,Assists
,BKN - G,,,2024-01-30,285.0,Spencer Dinwiddie,5.5,Assists
,UTA - G,,,2024-01-30,286.0,Kris Dunn,4.5,Assists
,NOP - F,,,2024-01-30,287.0,Brandon Ingram,5.5,Assists
,BOS - G-F,,,2024-01-30,288.0,Jaylen Brown,3.5,Assists
,NOP - G,,,2024-01-30,289.0,CJ McCollum,4.5,Assists
,BOS - F-G,,,2024-01-30,290.0,Jayson Tatum,4.5,Assists
,NOP - F,,,2024-01-30,291.0,Zion Williamson,4.5,Assists
,WAS - F,,,2024-01-30,292.0,Kyle Kuzma,5.0,Assists
,SAS - G,,,2024-01-30,293.0,Devin Vassell,4.0,Assists
,WAS - F,,,2024-01-30,294.0,Deni Avdija,4.0,Assists
,SAS - G,,,2024-01-30,295.0,Tre Jones,8.0,Assists
,WAS - G,,,2024-01-30,296.0,Tyus Jones,8.0,Assists
,SAC - G,,,2024-01-30,297.0,De'Aaron Fox,5.0,Assists
,SAC - C,,,2024-01-30,298.0,Domantas Sabonis,8.5,Assists
,MEM - G-F,,,2024-01-30,299.0,Luke Kennard,4.0,Assists
,MEM - F,,,2024-01-30,300.0,Santi Aldama,2.5,Assists
,MEM - G-F,,,2024-01-30,301.0,Vince Williams Jr.,4.0,Assists
,MIN - G,,,2024-01-30,302.0,Anthony Edwards,5.0,Assists
,OKC - G-F,,,2024-01-30,303.0,Jalen Williams,4.0,Assists
,OKC - G,,,2024-01-30,304.0,Josh Giddey,4.0,Assists
,MIN - G,,,2024-01-30,305.0,Mike Conley,6.0,Assists
,OKC - G,,,2024-01-30,306.0,Shai Gilgeous-Alexander,5.5,Assists
,HOU - C,,,2024-01-30,307.0,Alperen Sengun,5.0,Assists
,LAL - F,,,2024-01-30,308.0,LeBron James,8.0,Assists
,HOU - G,,,2024-01-30,309.0,Fred VanVleet,7.5,Assists
,LAL - G,,,2024-01-30,310.0,D'Angelo Russell,6.0,Assists
,LAL - G,,,2024-01-30,311.0,Austin Reaves,5.0,Assists
,DAL - F-G,,,2024-01-30,312.0,Luka Doncic,10.5,Assists
,ORL - F,,,2024-01-30,313.0,Paolo Banchero,5.5,Assists
,ORL - F,,,2024-01-30,314.0,Franz Wagner,4.0,Assists
,DEN - C,,,2024-01-30,315.0,Nikola Jokic,9.0,Assists
,MIL - F,,,2024-01-30,316.0,Giannis Antetokounmpo,6.5,Assists
,DEN - G,,,2024-01-30,317.0,Jamal Murray,7.5,Assists
,MIL - G,,,2024-01-30,318.0,Damian Lillard,6.0,Assists
,MIL - F,,,2024-01-30,319.0,Khris Middleton,5.0,Assists
,POR - G,,,2024-01-30,320.0,Anfernee Simons,5.0,Assists
,PHI - C-F,,,2024-01-30,321.0,Joel Embiid,5.0,Assists
,POR - G,,,2024-01-30,322.0,Malcolm Brogdon,6.0,Assists
,CLE - G,,,2024-01-30,323.0,Donovan Mitchell,47.5,Fantasy Score
,LAC - F,,,2024-01-30,324.0,Kawhi Leonard,43.0,Fantasy Score
,CLE - C,,,2024-01-30,325.0,Jarrett Allen,38.0,Fantasy Score
,LAC - G,,,2024-01-30,326.0,James Harden,39.0,Fantasy Score
,CLE - G-F,,,2024-01-30,327.0,Max Strus,22.0,Fantasy Score
,LAC - G-F,,,2024-01-30,328.0,Terance Mann,15.0,Fantasy Score
,CLE - F-G,,,2024-01-30,329.0,Isaac Okoro,15.0,Fantasy Score
,LAC - F-C,,,2024-01-30,330.0,Mason Plumlee,20.5,Fantasy Score
,LAC - F,,,2024-01-30,331.0,Paul George,30.5,Fantasy Score
,MIA - C-F,,,2024-01-30,332.0,Bam Adebayo,41.0,Fantasy Score
,PHX - G,,,2024-01-30,333.0,Bradley Beal,30.5,Fantasy Score
,MIA - F,,,2024-01-30,334.0,Jimmy Butler,38.5,Fantasy Score
,PHX - G,,,2024-01-30,335.0,Devin Booker,45.0,Fantasy Score
,MIA - G,,,2024-01-30,336.0,Terry Rozier,30.0,Fantasy Score
,PHX - G,,,2024-01-30,337.0,Grayson Allen,22.0,Fantasy Score
,MIA - G,,,2024-01-30,338.0,Tyler Herro,31.5,Fantasy Score
,PHX - C,,,2024-01-30,339.0,Jusuf Nurkic,28.5,Fantasy Score
,PHX - F,,,2024-01-30,340.0,Kevin Durant,43.0,Fantasy Score
,BKN - F,,,2024-01-30,341.0,Cameron Johnson,23.5,Fantasy Score
,UTA - G,,,2024-01-30,342.0,Collin Sexton,33.5,Fantasy Score
,BKN - G,,,2024-01-30,343.0,Cam Thomas,33.0,Fantasy Score
,UTA - F-C,,,2024-01-30,344.0,John Collins,26.5,Fantasy Score
,BKN - F,,,2024-01-30,345.0,Mikal Bridges,36.0,Fantasy Score
,UTA - F-C,,,2024-01-30,346.0,Lauri Markkanen,39.0,Fantasy Score
,BKN - C,,,2024-01-30,347.0,Nicolas Claxton,39.5,Fantasy Score
,UTA - F,,,2024-01-30,348.0,Simone Fontecchio,17.0,Fantasy Score
,BKN - G,,,2024-01-30,349.0,Spencer Dinwiddie,26.0,Fantasy Score
,HOU - C,,,2024-01-30,350.0,Alperen Sengun,42.0,Fantasy Score
,LAL - F,,,2024-01-30,351.0,LeBron James,44.5,Fantasy Score
,HOU - G,,,2024-01-30,352.0,Jalen Green,30.0,Fantasy Score
,LAL - F-C,,,2024-01-30,353.0,Anthony Davis,53.0,Fantasy Score
,HOU - G,,,2024-01-30,354.0,Fred VanVleet,35.0,Fantasy Score
,LAL - G,,,2024-01-30,355.0,D'Angelo Russell,32.5,Fantasy Score
,HOU - F,,,2024-01-30,356.0,Jabari Smith Jr.,28.0,Fantasy Score
,LAL - G,,,2024-01-30,357.0,Austin Reaves,27.0,Fantasy Score
,HOU - G-F,,,2024-01-30,358.0,Dillon Brooks,20.0,Fantasy Score
,CHA - G,,,2024-01-30,359.0,LaMelo Ball,3.5,3-PT Made
,LAC - G,,,2024-01-30,360.0,James Harden,2.5,3-PT Made
,LAC - G,,,2024-01-30,361.0,Russell Westbrook,0.5,3-PT Made
,WAS - F,,,2024-01-30,362.0,Kyle Kuzma,2.5,3-PT Made
,SAS - G,,,2024-01-30,363.0,Devin Vassell,2.5,3-PT Made
,SAS - G,,,2024-01-30,364.0,Tre Jones,0.5,3-PT Made
,WAS - G,,,2024-01-30,365.0,Tyus Jones,1.5,3-PT Made
,SAC - G,,,2024-01-30,366.0,De'Aaron Fox,2.5,3-PT Made
,MEM - G-F,,,2024-01-30,367.0,Luke Kennard,3.5,3-PT Made
,MEM - F,,,2024-01-30,368.0,Santi Aldama,1.5,3-PT Made
,OKC - G,,,2024-01-30,369.0,Josh Giddey,0.5,3-PT Made
,OKC - G,,,2024-01-30,370.0,Luguentz Dort,1.5,3-PT Made
,LAL - F,,,2024-01-30,371.0,LeBron James,1.5,3-PT Made
,LAL - G,,,2024-01-30,372.0,Austin Reaves,1.5,3-PT Made
,ORL - F,,,2024-01-30,373.0,Paolo Banchero,1.5,3-PT Made
,DEN - G,,,2024-01-30,374.0,Jamal Murray,2.5,3-PT Made
,DEN - F,,,2024-01-30,375.0,Michael Porter Jr.,2.5,3-PT Made
,DEN - G,,,2024-01-30,376.0,Kentavious Caldwell-Pope,1.5,3-PT Made
,CLE - C,,,2024-01-30,377.0,Jarrett Allen,7.5,Defensive Rebounds
,MIA - C-F,,,2024-01-30,378.0,Bam Adebayo,8.0,Defensive Rebounds
,PHX - C,,,2024-01-30,379.0,Jusuf Nurkic,7.0,Defensive Rebounds
,UTA - F-C,,,2024-01-30,380.0,Lauri Markkanen,7.0,Defensive Rebounds
,BKN - C,,,2024-01-30,381.0,Nicolas Claxton,8.5,Defensive Rebounds
,HOU - C,,,2024-01-30,382.0,Alperen Sengun,6.5,Defensive Rebounds
,LAL - F-C,,,2024-01-30,383.0,Anthony Davis,9.0,Defensive Rebounds
,CLE - C,,,2024-01-30,384.0,Jarrett Allen,3.5,Offensive Rebounds
,MIA - C-F,,,2024-01-30,385.0,Bam Adebayo,2.5,Offensive Rebounds
,PHX - G,,,2024-01-30,386.0,Devin Booker,0.5,Offensive Rebounds
,BKN - C,,,2024-01-30,387.0,Nicolas Claxton,3.0,Offensive Rebounds
,LAL - F-C,,,2024-01-30,388.0,Anthony Davis,3.5,Offensive Rebounds
,HOU - G-F,,,2024-01-30,389.0,Dillon Brooks,0.5,Offensive Rebounds
,CLE - G,,,2024-01-30,390.0,Donovan Mitchell,9.0,3-PT Attempted
,PHX - G,,,2024-01-30,391.0,Devin Booker,6.0,3-PT Attempted
,MIA - G,,,2024-01-30,392.0,Terry Rozier,5.5,3-PT Attempted
,PHX - G,,,2024-01-30,393.0,Grayson Allen,5.0,3-PT Attempted
,MIA - G,,,2024-01-30,394.0,Tyler Herro,8.0,3-PT Attempted
,PHX - F,,,2024-01-30,395.0,Kevin Durant,5.0,3-PT Attempted
,BKN - F,,,2024-01-30,396.0,Cameron Johnson,5.5,3-PT Attempted
,BKN - G,,,2024-01-30,397.0,Cam Thomas,6.0,3-PT Attempted
,BKN - F,,,2024-01-30,398.0,Mikal Bridges,7.0,3-PT Attempted
,UTA - F-C,,,2024-01-30,399.0,Lauri Markkanen,8.5,3-PT Attempted
,BKN - G,,,2024-01-30,400.0,Spencer Dinwiddie,5.5,3-PT Attempted
,LAL - F,,,2024-01-30,401.0,LeBron James,5.0,3-PT Attempted
,HOU - G,,,2024-01-30,402.0,Jalen Green,6.5,3-PT Attempted
,HOU - G,,,2024-01-30,403.0,Fred VanVleet,7.5,3-PT Attempted
,LAL - G,,,2024-01-30,404.0,D'Angelo Russell,7.5,3-PT Attempted
,PHX/MIN - G/C,,,2024-01-30,405.0,Devin Booker + Karl-Anthony Towns,54.5,Points (Combo)
,MIA/PHX - G,,,2024-01-30,406.0,Tyler Herro + Devin Booker,50.0,Points (Combo)
,MIA/PHX - C/F,,,2024-01-30,407.0,Bam Adebayo + Kevin Durant,44.0,Points (Combo)
,CLE/LAC - G/F,,,2024-01-30,408.0,Donovan Mitchell + Kawhi Leonard,54.5,Points (Combo)
,UTA/BKN - PF/SF,,,2024-01-30,409.0,Lauri Markkanen + Mikal Bridges,47.0,Points (Combo)
,SAS/WAS - G/F,,,2024-01-30,410.0,Devin Vassell + Kyle Kuzma,43.5,Points (Combo)
,BOS/NOP - F/F,,,2024-01-30,411.0,Jayson Tatum + Zion Williamson,49.5,Points (Combo)
,OKC/MIN - G,,,2024-01-30,412.0,Shai Gilgeous-Alexander + Anthony Edwards,59.5,Points (Combo)
,OKC/MIN - G/F,,,2024-01-30,413.0,Shai Gilgeous-Alexander + Karl-Anthony Towns,55.5,Points (Combo)
,LAL/HOU - F/C,,,2024-01-30,414.0,Lebron James + Alperen Sengun,46.5,Points (Combo)
,DAL/ORL - G/F,,,2024-01-30,415.0,Luka Doncic + Paolo Banchero,62.5,Points (Combo)
,DEN/MIL - C/F,,,2024-01-30,416.0,Nikola Jokic + Giannis Antetokounmpo,59.5,Points (Combo)
,BOS/NOP - F/F,,,2024-01-30,417.0,Jayson Tatum + Zion Williamson,9.0,Assists (Combo)
,SAS/WAS - G,,,2024-01-30,418.0,Tre Jones + Tyus Jones,16.0,Assists (Combo)
,OKC/MIN - G,,,2024-01-30,419.0,Shai Gilgeous-Alexander + Mike Conley,11.5,Assists (Combo)
,LAL/HOU - F/G,,,2024-01-30,420.0,LeBron James + Fred VanVleet,15.5,Assists (Combo)
,MIA/PHX - C,,,2024-01-30,421.0,Bam Adebayo + Jusuf Nurkic,20.5,Rebounds (Combo)
,UTA/BKN - PF/C,,,2024-01-30,422.0,Lauri Markkanen + Nicolas Claxton,20.5,Rebounds (Combo)
,SAS/WAS - C,,,2024-01-30,423.0,Victor Wembanyama + Daniel Gafford,19.5,Rebounds (Combo)
,BOS/NOP - F/F,,,2024-01-30,424.0,Jayson Tatum + Zion Williamson,13.5,Rebounds (Combo)
,MEM/SAC - C,,,2024-01-30,425.0,Jaren Jackson Jr. + Domantas Sabonis,18.5,Rebounds (Combo)
,OKC/MIN - C,,,2024-01-30,426.0,Chet Holmgren + Rudy Gobert,20.0,Rebounds (Combo)
,LAL/HOU - C,,,2024-01-30,427.0,Anthony Davis + Alperen Sengun,21.5,Rebounds (Combo)
,DAL/ORL - G/F,,,2024-01-30,428.0,Luka Doncic + Paolo Banchero,16.0,Rebounds (Combo)
,DEN/MIL - C/F,,,2024-01-30,429.0,Nikola Jokic + Giannis Antetokounmpo,23.5,Rebounds (Combo)
,CLE/LAC - G/F,,,2024-01-30,430.0,Donovan Mitchell + Kawhi Leonard,5.0,3-PT Made (Combo)
,UTA/BKN - PF/SF,,,2024-01-30,431.0,Lauri Markkanen + Mikal Bridges,6.0,3-PT Made (Combo)
,SAS/WAS - G/F,,,2024-01-30,432.0,Devin Vassell + Kyle Kuzma,5.0,3-PT Made (Combo)
,CLE - G,,,2024-01-30,433.0,Donovan Mitchell,5.5,Free Throws Made
,LAC - F,,,2024-01-30,434.0,Kawhi Leonard,4.0,Free Throws Made
,MIA - C-F,,,2024-01-30,435.0,Bam Adebayo,4.5,Free Throws Made
,MIA - F,,,2024-01-30,436.0,Jimmy Butler,6.0,Free Throws Made
,PHX - G,,,2024-01-30,437.0,Devin Booker,6.0,Free Throws Made
,PHX - F,,,2024-01-30,438.0,Kevin Durant,4.0,Free Throws Made
,BKN - F,,,2024-01-30,439.0,Cameron Johnson,0.5,Free Throws Made
,UTA - G,,,2024-01-30,440.0,Collin Sexton,4.0,Free Throws Made
,BKN - G,,,2024-01-30,441.0,Cam Thomas,3.5,Free Throws Made
,BKN - F,,,2024-01-30,442.0,Mikal Bridges,3.5,Free Throws Made
,UTA - F-C,,,2024-01-30,443.0,Lauri Markkanen,4.0,Free Throws Made
,BKN - C,,,2024-01-30,444.0,Nicolas Claxton,1.5,Free Throws Made
,BKN - G,,,2024-01-30,445.0,Spencer Dinwiddie,2.5,Free Throws Made
,HOU - C,,,2024-01-30,446.0,Alperen Sengun,4.0,Free Throws Made
,LAL - F,,,2024-01-30,447.0,LeBron James,4.5,Free Throws Made
,HOU - G,,,2024-01-30,448.0,Jalen Green,3.0,Free Throws Made
,LAL - F-C,,,2024-01-30,449.0,Anthony Davis,5.5,Free Throws Made
,CLE - G,,,2024-01-30,450.0,Donovan Mitchell,21.0,FG Attempted
,LAC - F,,,2024-01-30,451.0,Kawhi Leonard,18.0,FG Attempted
,MIA - C-F,,,2024-01-30,452.0,Bam Adebayo,14.0,FG Attempted
,PHX - G,,,2024-01-30,453.0,Bradley Beal,14.0,FG Attempted
,MIA - F,,,2024-01-30,454.0,Jimmy Butler,13.5,FG Attempted
,PHX - G,,,2024-01-30,455.0,Devin Booker,22.0,FG Attempted
,MIA - G,,,2024-01-30,456.0,Terry Rozier,13.0,FG Attempted
,MIA - G,,,2024-01-30,457.0,Tyler Herro,16.5,FG Attempted
,PHX - F,,,2024-01-30,458.0,Kevin Durant,16.5,FG Attempted
,UTA - G,,,2024-01-30,459.0,Collin Sexton,14.5,FG Attempted
,BKN - G,,,2024-01-30,460.0,Cam Thomas,19.5,FG Attempted
,BKN - F,,,2024-01-30,461.0,Mikal Bridges,17.5,FG Attempted
,UTA - F-C,,,2024-01-30,462.0,Lauri Markkanen,17.0,FG Attempted
,HOU - C,,,2024-01-30,463.0,Alperen Sengun,15.5,FG Attempted
,LAL - F,,,2024-01-30,464.0,LeBron James,18.0,FG Attempted
,HOU - G,,,2024-01-30,465.0,Jalen Green,16.0,FG Attempted
,LAL - F-C,,,2024-01-30,466.0,Anthony Davis,17.0,FG Attempted
,CHA - G,,,2024-01-30,467.0,LaMelo Ball,30.5,Pts+Rebs
,NYK - G,,,2024-01-30,468.0,Jalen Brunson,35.5,Pts+Rebs
,NYK - G-F,,,2024-01-30,469.0,OG Anunoby,23.5,Pts+Rebs
,NYK - G,,,2024-01-30,470.0,Donte DiVincenzo,18.5,Pts+Rebs
,CLE - G,,,2024-01-30,471.0,Donovan Mitchell,34.5,Pts+Rebs
,LAC - F,,,2024-01-30,472.0,Kawhi Leonard,30.5,Pts+Rebs
,CLE - C,,,2024-01-30,473.0,Jarrett Allen,27.5,Pts+Rebs
,LAC - G,,,2024-01-30,474.0,James Harden,23.5,Pts+Rebs
,CLE - G-F,,,2024-01-30,475.0,Max Strus,15.5,Pts+Rebs
,LAC - G-F,,,2024-01-30,476.0,Terance Mann,11.5,Pts+Rebs
,CLE - F-G,,,2024-01-30,477.0,Isaac Okoro,10.5,Pts+Rebs
,LAC - F-C,,,2024-01-30,478.0,Mason Plumlee,14.5,Pts+Rebs
,LAC - F,,,2024-01-30,479.0,Paul George,23.5,Pts+Rebs
,LAC - G,,,2024-01-30,480.0,Norman Powell,15.5,Pts+Rebs
,LAC - G,,,2024-01-30,481.0,Russell Westbrook,16.5,Pts+Rebs
,LAC - F-C,,,2024-01-30,482.0,Daniel Theis,10.0,Pts+Rebs
,MIA - C-F,,,2024-01-30,483.0,Bam Adebayo,30.5,Pts+Rebs
,PHX - G,,,2024-01-30,484.0,Bradley Beal,21.5,Pts+Rebs
,MIA - F,,,2024-01-30,485.0,Jimmy Butler,25.5,Pts+Rebs
,PHX - G,,,2024-01-30,486.0,Devin Booker,35.5,Pts+Rebs
,MIA - G,,,2024-01-30,487.0,Terry Rozier,19.5,Pts+Rebs
,PHX - G,,,2024-01-30,488.0,Grayson Allen,15.5,Pts+Rebs
,MIA - G,,,2024-01-30,489.0,Tyler Herro,24.5,Pts+Rebs
,PHX - C,,,2024-01-30,490.0,Jusuf Nurkic,20.5,Pts+Rebs
,PHX - F,,,2024-01-30,491.0,Kevin Durant,30.0,Pts+Rebs
,BKN - F,,,2024-01-30,492.0,Cameron Johnson,16.5,Pts+Rebs
,UTA - G,,,2024-01-30,493.0,Collin Sexton,23.5,Pts+Rebs
,BKN - G,,,2024-01-30,494.0,Cam Thomas,26.5,Pts+Rebs
,UTA - F-C,,,2024-01-30,495.0,John Collins,22.5,Pts+Rebs
,BKN - F,,,2024-01-30,496.0,Mikal Bridges,27.5,Pts+Rebs
,UTA - F-C,,,2024-01-30,497.0,Lauri Markkanen,33.5,Pts+Rebs
,BKN - C,,,2024-01-30,498.0,Nicolas Claxton,25.5,Pts+Rebs
,UTA - F,,,2024-01-30,499.0,Simone Fontecchio,12.0,Pts+Rebs
,BKN - G,,,2024-01-30,500.0,Spencer Dinwiddie,14.5,Pts+Rebs
,NOP - F,,,2024-01-30,501.0,Brandon Ingram,24.5,Pts+Rebs
,BOS - G-F,,,2024-01-30,502.0,Jaylen Brown,29.5,Pts+Rebs
,NOP - G,,,2024-01-30,503.0,CJ McCollum,20.5,Pts+Rebs
,BOS - F-G,,,2024-01-30,504.0,Jayson Tatum,37.5,Pts+Rebs
,NOP - G-F,,,2024-01-30,505.0,Herbert Jones,12.5,Pts+Rebs
,BOS - F-C,,,2024-01-30,506.0,Kristaps Porzingis,25.5,Pts+Rebs
,NOP - C,,,2024-01-30,507.0,Jonas Valanciunas,20.5,Pts+Rebs
,NOP - F,,,2024-01-30,508.0,Zion Williamson,26.0,Pts+Rebs
,SAS - F-C,,,2024-01-30,509.0,Victor Wembanyama,37.5,Pts+Rebs
,WAS - F,,,2024-01-30,510.0,Kyle Kuzma,30.5,Pts+Rebs
,SAS - G,,,2024-01-30,511.0,Devin Vassell,23.5,Pts+Rebs
,WAS - G,,,2024-01-30,512.0,Jordan Poole,18.5,Pts+Rebs
,SAS - F,,,2024-01-30,513.0,Jeremy Sochan,20.5,Pts+Rebs
,WAS - F,,,2024-01-30,514.0,Deni Avdija,18.5,Pts+Rebs
,SAS - G,,,2024-01-30,515.0,Tre Jones,14.5,Pts+Rebs
,WAS - G,,,2024-01-30,516.0,Tyus Jones,15.5,Pts+Rebs
,WAS - F-C,,,2024-01-30,517.0,Daniel Gafford,20.0,Pts+Rebs
,SAC - G,,,2024-01-30,518.0,De'Aaron Fox,30.5,Pts+Rebs
,MEM - F-C,,,2024-01-30,519.0,Jaren Jackson Jr.,33.5,Pts+Rebs
,SAC - C,,,2024-01-30,520.0,Domantas Sabonis,31.5,Pts+Rebs
,MEM - G-F,,,2024-01-30,521.0,Luke Kennard,17.5,Pts+Rebs
,SAC - F,,,2024-01-30,522.0,Harrison Barnes,18.5,Pts+Rebs
,MEM - F,,,2024-01-30,523.0,Santi Aldama,18.5,Pts+Rebs
,SAC - F,,,2024-01-30,524.0,Keegan Murray,21.5,Pts+Rebs
,MEM - G-F,,,2024-01-30,525.0,Vince Williams Jr.,19.5,Pts+Rebs
,SAC - G-F,,,2024-01-30,526.0,Kevin Huerter,15.5,Pts+Rebs
,MEM - G-F,,,2024-01-30,527.0,John Konchar,11.5,Pts+Rebs
,MIN - G,,,2024-01-30,528.0,Anthony Edwards,32.5,Pts+Rebs
,OKC - C-F,,,2024-01-30,529.0,Chet Holmgren,22.5,Pts+Rebs
,MIN - F,,,2024-01-30,530.0,Jaden McDaniels,14.5,Pts+Rebs
,OKC - G-F,,,2024-01-30,531.0,Jalen Williams,23.5,Pts+Rebs
,MIN - C-F,,,2024-01-30,532.0,Karl-Anthony Towns,32.5,Pts+Rebs
,OKC - G,,,2024-01-30,533.0,Josh Giddey,16.5,Pts+Rebs
,MIN - G,,,2024-01-30,534.0,Mike Conley,12.5,Pts+Rebs
,OKC - G,,,2024-01-30,535.0,Luguentz Dort,12.5,Pts+Rebs
,MIN - C,,,2024-01-30,536.0,Rudy Gobert,27.5,Pts+Rebs
,OKC - G,,,2024-01-30,537.0,Shai Gilgeous-Alexander,36.5,Pts+Rebs
,HOU - C,,,2024-01-30,538.0,Alperen Sengun,31.5,Pts+Rebs
,LAL - F,,,2024-01-30,539.0,LeBron James,31.5,Pts+Rebs
,HOU - G,,,2024-01-30,540.0,Jalen Green,24.5,Pts+Rebs
,LAL - F-C,,,2024-01-30,541.0,Anthony Davis,37.0,Pts+Rebs
,HOU - G,,,2024-01-30,542.0,Fred VanVleet,18.5,Pts+Rebs
,LAL - G,,,2024-01-30,543.0,D'Angelo Russell,20.5,Pts+Rebs
,HOU - F,,,2024-01-30,544.0,Jabari Smith Jr.,21.5,Pts+Rebs
,LAL - G,,,2024-01-30,545.0,Austin Reaves,17.5,Pts+Rebs
,HOU - G-F,,,2024-01-30,546.0,Dillon Brooks,15.5,Pts+Rebs
,LAL - F,,,2024-01-30,547.0,Taurean Prince,10.5,Pts+Rebs
,DAL - F-G,,,2024-01-30,548.0,Luka Doncic,47.5,Pts+Rebs
,ORL - F,,,2024-01-30,549.0,Paolo Banchero,31.5,Pts+Rebs
,DAL - C,,,2024-01-30,550.0,Dereck Lively II,16.5,Pts+Rebs
,ORL - F,,,2024-01-30,551.0,Franz Wagner,24.5,Pts+Rebs
,ORL - G,,,2024-01-30,552.0,Markelle Fultz,14.5,Pts+Rebs
,DAL - G,,,2024-01-30,553.0,Josh Green,14.5,Pts+Rebs
,DAL - F,,,2024-01-30,554.0,Derrick Jones Jr.,14.5,Pts+Rebs
,DAL - G-F,,,2024-01-30,555.0,Tim Hardaway Jr.,21.5,Pts+Rebs
,DEN - C,,,2024-01-30,556.0,Nikola Jokic,39.5,Pts+Rebs
,MIL - F,,,2024-01-30,557.0,Giannis Antetokounmpo,42.5,Pts+Rebs
,DEN - G,,,2024-01-30,558.0,Jamal Murray,28.5,Pts+Rebs
,MIL - G,,,2024-01-30,559.0,Damian Lillard,28.5,Pts+Rebs
,DEN - F,,,2024-01-30,560.0,Michael Porter Jr.,22.5,Pts+Rebs
,MIL - F,,,2024-01-30,561.0,Khris Middleton,21.5,Pts+Rebs
,DEN - F,,,2024-01-30,562.0,Aaron Gordon,20.5,Pts+Rebs
,MIL - C,,,2024-01-30,563.0,Brook Lopez,17.5,Pts+Rebs
,DEN - G,,,2024-01-30,564.0,Kentavious Caldwell-Pope,13.5,Pts+Rebs
,MIL - G,,,2024-01-30,565.0,Malik Beasley,11.5,Pts+Rebs
,POR - G,,,2024-01-30,566.0,Anfernee Simons,25.5,Pts+Rebs
,PHI - C-F,,,2024-01-30,567.0,Joel Embiid,48.5,Pts+Rebs
,POR - F,,,2024-01-30,568.0,Jerami Grant,23.5,Pts+Rebs
